Time,G,Acc
-0.045347,0.174273,1.70961813
-0.045247,0.019364,0.18996084
-0.045147,0.077455,0.75983355
-0.045047,0.290455,2.84936355
-0.044947,0.116182,1.13974542
-0.044847,-0.096818,-0.94978458
-0.044747,-0.213001,-2.08953981
-0.044647,-0.174273,-1.70961813
-0.044547,0.058091,0.56987271
-0.044447,-0.15491,-1.5196671
-0.044347,-0.174273,-1.70961813
-0.044247,0.116182,1.13974542
-0.044147,0.116182,1.13974542
-0.044047,0.077455,0.75983355
-0.043947,0.038727,0.37991187
-0.043847,-0.348546,-3.41923626
-0.043747,-0.503456,-4.93890336
-0.043647,-0.484092,-4.74894252
-0.043547,-0.600274,-5.88868794
-0.043447,-0.251728,-2.46945168
-0.043347,-0.019364,-0.18996084
-0.043247,-0.213001,-2.08953981
-0.043147,-0.232364,-2.27949084
-0.043047,-0.406637,-3.98910897
-0.042947,0.174273,1.70961813
-0.042847,0.387274,3.79915794
-0.042747,0.658365,6.45856065
-0.042647,0.116182,1.13974542
-0.042547,0.36791,3.6091971
-0.042447,0.52282,5.1288642
-0.042347,0.580911,5.69873691
-0.042247,0.348546,3.41923626
-0.042146,0.058091,0.56987271
-0.042046,0.174273,1.70961813
-0.041946,0.445365,4.36903065
-0.041846,0.135546,1.32970626
-0.041746,-0.15491,-1.5196671
-0.041646,-0.36791,-3.6091971
-0.041546,-0.561547,-5.50877607
-0.041446,-0.387274,-3.79915794
-0.041346,0.019364,0.18996084
-0.041246,0.135546,1.32970626
-0.041146,0.213001,2.08953981
-0.041046,-0.038727,-0.37991187
-0.040946,-0.329183,-3.22928523
-0.040846,-0.096818,-0.94978458
-0.040746,0.348546,3.41923626
-0.040646,0.15491,1.5196671
-0.040546,-0.193637,-1.89957897
-0.040446,0.15491,1.5196671
-0.040346,0.677729,6.64852149
-0.040246,-0.038727,-0.37991187
-0.040146,-0.503456,-4.93890336
-0.040046,-0.193637,-1.89957897
-0.039946,-0.193637,-1.89957897
-0.039846,-0.174273,-1.70961813
-0.039746,-0.232364,-2.27949084
-0.039646,-0.251728,-2.46945168
